id,brand,item_name,category,description,serving_amount,serving_unit,serving_label,calories,fat_g,carbs_g,protein_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,potassium_mg,source_type,source_date,source_detail,source_url,region,is_manual_override
924640,Applebee's,12oz Ribeye,Entrees,"12oz Ribeye, Steaks & Ribs, Includes Fixed Sides",,,,890,49,44,73,7,6,2050,225,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943934,Applebee's,"4-Cheese Mac & Cheese, Family Bundle",Entrees,"4-Cheese Mac & Cheese, Family Bundle, Family Bundles",,,,9300,498,923,290,61,240,18400,575,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
150105,Applebee's,Add Bacon,Toppings & Ingredients,"Add Bacon, Burger Add Ons",,,,110,9,,8,0,,350,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
170205,Applebee's,Add Burger Patty,Toppings & Ingredients,"Add Burger Patty, Burger Add Ons",,,,400,31,0,30,0,0,300,85,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924641,Applebee's,Applebee's Riblets Plate,Entrees,"Applebee's Riblets Plate, Steaks & Ribs, Includes Fixed Sides",,,,910,52,55,57,5,2,1390,145,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
170183,Applebee's,Applebee's Riblets Platter,Entrees,"Applebee's Riblets Platter, Steaks & Ribs, Includes Fixed Sides",,,,1340,79,69,89,7,14,1790,235,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
150053,Applebee's,Applesauce,Appetizers & Sides,"Applesauce, Kids Sides",,,,50,0,14,0,1,12,0,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951549,Applebee's,Bacon Ranch Chicken Sandwich w/ Crispy Chicken,Sandwiches,"Bacon Ranch Chicken Sandwich w/ Crispy Chicken, Side of Fries, Sandwiches & More",,,,1260,72,110,45,8,8,3090,110,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951550,Applebee's,Bacon Ranch Chicken Sandwich w/ Grilled Chicken,Sandwiches,"Bacon Ranch Chicken Sandwich w/ Grilled Chicken, Side of Fries, Sandwiches & More",,,,1120,58,91,61,7,8,2900,175,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10231,Applebee's,Baked Potato,Appetizers & Sides,"Baked Potato, Sides & Extras",,,,530,31,59,9,4,4,1120,75,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924651,Applebee's,Blackened Cajun Salmon,Entrees,"Blackened Cajun Salmon, Seafood, Includes Fixed Sides",,,,600,28,47,43,7,5,1790,110,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10243,Applebee's,Bleu Cheese,Toppings & Ingredients,"Bleu Cheese, Available In: Boneless Wings, Initial Order, Boneless Wings, Refill Order, Bone-In Wings, Boneless Wings, Double Crunch Bone-In Wings, Fried Cheetos Cheese Bites, The Classic Combo, Limited Time Offers, Appetizers, House Salad, Side Salads",,,,200,22,,1,0,0,260,15,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951506,Applebee's,Bone-In Wings w/ Cheetos Flamin' Hot Sauce,Appetizers & Sides,"Bone-In Wings w/ Cheetos Flamin' Hot Sauce, Appetizers",,,,1080,86,14,62,2,3,3160,270,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951507,Applebee's,Bone-In Wings w/ Original Cheetos Sauce,Appetizers & Sides,"Bone-In Wings w/ Original Cheetos Sauce, Appetizers",,,,1080,85,15,62,2,4,3110,270,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
120272,Applebee's,Boneless Wings,Appetizers & Sides,"Boneless Wings, Appetizers",,,,220,12,22,5,2,9,1270,25,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951508,Applebee's,Boneless Wings w/ Cheetos Flamin' Hot Wing Sauce,Appetizers & Sides,"Boneless Wings w/ Cheetos Flamin' Hot Wing Sauce, Appetizers",,,,1140,81,59,42,4,2,2770,100,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951509,Applebee's,Boneless Wings w/ Original Cheetos Wing Sauce,Appetizers & Sides,"Boneless Wings w/ Original Cheetos Wing Sauce, Appetizers",,,,1130,81,60,42,4,4,2730,105,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951500,Applebee's,"Boneless Wings, Initial Order",Appetizers & Sides,"Boneless Wings, Initial Order, Limited Time Offers",,,,1160,57,115,47,10,11,2720,100,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951501,Applebee's,"Boneless Wings, Refill Order",Appetizers & Sides,"Boneless Wings, Refill Order, Limited Time Offers",,,,720,34,77,26,7,0,1780,50,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10184,Applebee's,Bourbon Street Chicken & Shrimp,Entrees,"Bourbon Street Chicken & Shrimp, Chicken, Includes Fixed Sides",,,,790,43,47,55,6,7,2510,235,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951539,Applebee's,Bourbon Street Mushroom Swiss Burger,Burgers,"Bourbon Street Mushroom Swiss Burger, Classic Fries, Burgers",,,,1610,111,99,57,7,12,2830,130,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
150086,Applebee's,Bourbon Street Steak,Entrees,"Bourbon Street Steak, Steaks & Ribs, Includes Fixed Sides",,,,820,47,48,52,5,7,1940,135,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179849,Applebee's,Breadstick,Appetizers & Sides,"Breadstick, Sides & Extras",,,,180,7,25,4,1,3,250,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179841,Applebee's,Breadsticks w/ Alfredo Sauce,Baked Goods,"Breadsticks w/ Alfredo Sauce, Pasta",,,,1500,89,139,38,6,19,2540,175,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951545,Applebee's,Brew Pub Loaded Waffle Fries,Fried Potatoes,"Brew Pub Loaded Waffle Fries, Appetizers",,,,1520,104,107,38,9,6,4290,110,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
29001,Applebee's,Brew Pub Pretzels & Beer Cheese Dip,Appetizers & Sides,"Brew Pub Pretzels & Beer Cheese Dip, Appetizers",,,,1160,49,146,34,6,17,3580,55,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10228,Applebee's,Broccoli,Appetizers & Sides,"Broccoli, Kids Sides",,,,30,0,6,3,3,2,30,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943935,Applebee's,"Broccoli Chicken Alfredo, Family Bundle",Entrees,"Broccoli Chicken Alfredo, Family Bundle , Family Bundles",16,fl oz,,8270,479,618,391,55,71,17890,1480,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
29000,Applebee's,Brownie Bite,Desserts,"Brownie Bite, Desserts",,,,330,15,48,4,2,35,190,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
90160,Applebee's,Caesar,Toppings & Ingredients,"Caesar, Available In: House Salad, Side Salads",,,,200,21,2,,0,,340,15,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10025,Applebee's,Caesar Salad,Salads,"Caesar Salad, Side Salads",,,,230,18,13,5,2,3,410,15,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179864,Applebee's,Caesar Salad w/ Blackened Shrimp,Salads,"Caesar Salad w/ Blackened Shrimp, 1 Breadstick, Salad Dressing, Salads",,,,860,58,57,31,8,9,2100,190,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924816,Applebee's,Caesar Salad w/ Grilled Chicken,Salads,"Caesar Salad w/ Grilled Chicken, 1 Breadstick, Salad Dressing, Salads",,,,970,60,55,55,7,9,2060,185,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943936,Applebee's,"Cheeseburgers, Family Bundle",Burgers,"Cheeseburgers, Family Bundle, Family Bundles",,,,6530,356,624,211,46,147,15410,450,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924679,Applebee's,Chicken Breast Patty,Toppings & Ingredients,"Chicken Breast Patty, Burger Substitutions",,,,190,2.5,0,40,0,0,770,150,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951553,Applebee's,Chicken Breast Patty,Toppings & Ingredients,"Chicken Breast Patty, Burger Substitutions, Bourbon St. Burger",,,,190,2.5,0,40,0,0,690,150,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951554,Applebee's,Chicken Breast Patty,Toppings & Ingredients,"Chicken Breast Patty, Burger Substitutions, Quesadilla Burger",,,,190,2.5,1,41,,0,1050,150,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10113,Applebee's,Chicken Fajita Rollup,Sandwiches,"Chicken Fajita Rollup, Side of Fries, Sandwiches & More",,,,1390,75,116,62,9,6,4090,180,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951510,Applebee's,Chicken Quesadilla,Appetizers & Sides,"Chicken Quesadilla, Appetizers",,,,1120,69,78,45,5,7,2820,170,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10197,Applebee's,Chicken Tenders Plate,Entrees,"Chicken Tenders Plate, Chicken, Includes Fixed Sides",,,,1080,61,95,37,7,10,2340,100,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10196,Applebee's,Chicken Tenders Platter,Entrees,"Chicken Tenders Platter, Chicken, Includes Fixed Sides",,,,1390,79,122,50,9,21,2940,135,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943937,Applebee's,"Chicken Tenders w/ Mozzarella Sticks, Family Bundle",Entrees,"Chicken Tenders w/ Mozzarella Sticks, Family Bundle, Family Bundles",,,,5220,273,501,188,38,132,14310,495,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943938,Applebee's,"Chicken Tenders w/ Spinach & Artichoke Dip, Family Bundle",Entrees,"Chicken Tenders w/ Spinach & Artichoke Dip, Family Bundle, Family Bundles",,,,7740,477,580,293,41,88,17770,830,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10018,Applebee's,Chicken Tortilla Soup,Soup,"Chicken Tortilla Soup, Soups",,,,280,15,26,11,2,3,930,35,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179844,Applebee's,Chicken Wonton Tacos,Sandwiches,"Chicken Wonton Tacos, Appetizers",,,,580,26,55,32,3,26,1510,95,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951542,Applebee's,Cinnabon Mini Swirls,Desserts,"Cinnabon Mini Swirls, Desserts",,,,1620,62,248,22,8,155,1060,30,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
179852,Applebee's,Classic Bacon Cheeseburger,Burgers,"Classic Bacon Cheeseburger, Classic Fries, Burgers",,,,1330,83,92,56,8,8,2690,135,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179862,Applebee's,Classic Broccoli Blackened Shrimp Alfredo,Entrees,"Classic Broccoli Blackened Shrimp Alfredo, 1 Breadstick, Pasta",,,,1290,75,103,54,8,12,2770,355,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179861,Applebee's,Classic Broccoli Chicken Alfredo,Entrees,"Classic Broccoli Chicken Alfredo, 1 Breadstick, Pasta",,,,1390,76,102,78,8,12,2730,350,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10108,Applebee's,Classic Burger,Burgers,"Classic Burger, Classic Fries, Burgers",,,,1120,66,90,43,7,7,1880,85,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179853,Applebee's,Classic Cheeseburger,Burgers,"Classic Cheeseburger, Classic Fries, Burgers",,,,1220,74,91,48,8,8,2340,110,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10222,Applebee's,"Classic Fries, Side",Fried Potatoes,"Classic Fries, Side, Sides & Extras",,,,400,18,53,6,5,0,1000,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924608,Applebee's,Classic Hot Buffalo,Toppings & Ingredients,"Classic Hot Buffalo, Available In: Boneless Wings, Initial Order, Limited Time Offers, Double Crunch Bone-In Wings",,,,210,22,3,,0,0,2700,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951555,Applebee's,Classic Hot Buffalo,Toppings & Ingredients,"Classic Hot Buffalo, Available In: Boneless Wings, Refill Order, Limited Time Offers, Classic Combo",,,,110,11,1,0,0,0,1350,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10082,Applebee's,Clubhouse Grille,Sandwiches,"Clubhouse Grille, Side of Fries, Sandwiches & More",,,,1450,80,128,56,9,21,3670,120,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951511,Applebee's,Crispy Cheese Bites,Appetizers & Sides,"Crispy Cheese Bites, Appetizers",,,,1550,125,48,58,4,7,3110,250,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
170193,Applebee's,Crispy Chicken Tender Salad,Salads,"Crispy Chicken Tender Salad, 1 Breadstick, Salad Dressing, Salads",,,,1200,79,83,44,8,27,1960,155,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
170120,Applebee's,Crunchy Onion Rings,Appetizers & Sides,"Crunchy Onion Rings, Appetizers",,,,1330,83,92,56,8,8,2690,135,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10223,Applebee's,"Crunchy Onion Rings, Side",Appetizers & Sides,"Crunchy Onion Rings, Side, Sides & Extras",,,,560,30,66,7,4,5,1170,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10252,Applebee's,Dijon Honey Mustard,Toppings & Ingredients,"Dijon Honey Mustard, Available In: House Salad, Side Salads",,,,200,18,10,,0,10,250,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
120273,Applebee's,Double Crunch Bone-In Wings,Appetizers & Sides,"Double Crunch Bone-In Wings, Appetizers",,,,580,35,5,60,2,,1940,265,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10212,Applebee's,Double Crunch Shrimp,Entrees,"Double Crunch Shrimp, Seafood, Includes Fixed Sides",,,,1130,49,142,33,12,30,3920,190,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951502,Applebee's,"Double Crunch Shrimp w/ Cocktail Sauce, Initial Order",Appetizers & Sides,"Double Crunch Shrimp w/ Cocktail Sauce, Initial Order, Limited Time Offers",,,,980,45,120,27,10,21,3070,155,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951503,Applebee's,"Double Crunch Shrimp w/ Cocktail Sauce, Refill Order",Appetizers & Sides,"Double Crunch Shrimp w/ Cocktail Sauce, Refill Order, Limited Time Offers",,,,660,28,86,17,7,10,2200,75,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
943881,Applebee's,Double-Glazed Baby Back Ribs,Entrees,"Double-Glazed Baby Back Ribs, Steaks & Ribs, Includes Fixed Sides",,,,1430,90,67,88,7,12,1850,310,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
120301,Applebee's,"Double-Glazed Baby Back Ribs, 1/2 Rack",Entrees,"Double-Glazed Baby Back Ribs, 1/2 Rack, Steaks & Ribs, Includes Fixed Sides",,,,850,51,53,47,5,0,1340,150,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943893,Applebee's,Extra Hot Buffalo,Toppings & Ingredients,"Extra Hot Buffalo, Available In: Boneless Wings, Initial Order, Limited Time Offers",,,,150,0,41,0,0,41,30,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943898,Applebee's,Extra Hot Buffalo,Toppings & Ingredients,"Extra Hot Buffalo, Available In: Double Crunch Bone-In Wings, Appetizers",,,,220,22,3,,,0,2700,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951556,Applebee's,Extra Hot Buffalo,Toppings & Ingredients,"Extra Hot Buffalo, Available In: Boneless Wings, Refill Order, Limited Time Offers, Classic Combo",,,,110,11,2,0,0,0,1350,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
120277,Applebee's,Fat Free Italian,Toppings & Ingredients,"Fat Free Italian, Available In: House Salad, Side Salads",,,,20,0,5,0,0,3,380,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10195,Applebee's,Fiesta Lime Chicken,Entrees,"Fiesta Lime Chicken, Chicken, Includes Fixed Sides",,,,1170,60,98,60,6,8,3580,195,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924695,Applebee's,Four-Cheese Mac & Cheese w/ Applewood-Smoked Bacon,Appetizers & Sides,"Four-Cheese Mac & Cheese w/ Applewood-Smoked Bacon, Sides & Extras",,,,390,18,38,17,2,4,1120,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
60018,Applebee's,Four-Cheese Mac & Cheese w/ Honey Pepper Chicken Tenders,Entrees,"Four-Cheese Mac & Cheese w/ Honey Pepper Chicken Tenders, 1 Breadstick, Pasta",,,,1350,54,160,55,7,44,3200,130,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10012,Applebee's,French Onion Soup,Soup,"French Onion Soup, Soups",,,,370,22,26,16,2,9,1250,55,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951512,Applebee's,Fried Cheetos Cheese Bites w/ Cheetos Flamin' Hot Sauce,Appetizers & Sides,"Fried Cheetos Cheese Bites w/ Cheetos Flamin' Hot Sauce, Appetizers",,,,1620,131,50,59,4,3,3710,240,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951513,Applebee's,Fried Cheetos Cheese Bites w/ Original Cheetos Wing Sauce,Appetizers & Sides,"Fried Cheetos Cheese Bites w/ Original Cheetos Wing Sauce, Appetizers",,,,1610,130,51,59,4,5,3660,240,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
150094,Applebee's,Fries Basket,Fried Potatoes,"Fries Basket, Kids Sides",,,,640,30,84,10,8,0,1580,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951546,Applebee's,Fries Basket,Fried Potatoes,"Fries Basket, Sides & Extras",,,,50,0,13,0,0,11,10,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10236,Applebee's,Garlic Mashed Potatoes,Appetizers & Sides,"Garlic Mashed Potatoes, Sides & Extras",,,,260,11,37,5,4,3,720,,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943894,Applebee's,Garlic Parmesan,Toppings & Ingredients,"Garlic Parmesan, Available In: Boneless Wings, Initial Order, Limited Time Offers, Double Crunch Bone-In Wings",16,fl oz,,390,41,5,2,,0,690,10,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951557,Applebee's,Garlic Parmesan,Toppings & Ingredients,"Garlic Parmesan, Available In: Boneless Wings, Refill Order, Limited Time Offers, Classic Combo",,,,210,21,2,2,0,0,370,10,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
150050,Applebee's,Garlicky Green Beans,Appetizers & Sides,"Garlicky Green Beans, Sides & Extras",,,,150,12,8,2,3,2,420,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
150080,Applebee's,Grilled Chicken Breast,Entrees,"Grilled Chicken Breast, Chicken, Includes Fixed Sides",,,,550,22,43,48,6,5,1730,175,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924670,Applebee's,Grilled Chicken Salad,Salads,"Grilled Chicken Salad, 1 Breadstick, Salad Dressing, Salads",,,,1000,61,57,60,6,27,1860,240,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924790,Applebee's,Hand-Battered Fish & Chips,Entrees,"Hand-Battered Fish & Chips, Seafood, Includes Fixed Sides",,,,1460,94,114,42,11,19,3180,150,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924697,Applebee's,Homestyle Cheesy Broccoli,Appetizers & Sides,"Homestyle Cheesy Broccoli, Sides & Extras",,,,210,17,8,9,3,3,710,45,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
130838,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Double Glazed Baby Back Ribs, Steaks & Ribs, Includes Fixed Sides",,,,130,0,32,,2,26,550,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
170207,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Applebee's Riblets Platter, Steaks & Ribs, Includes Fixed Sides",,,,320,0,79,2,5,66,1360,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924618,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Double Glazed Baby Back Ribs, 1/2 Rack, Steaks & Ribs, Includes Fixed Sides",,,,60,0,16,0,,13,270,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
924642,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Applebee's Riblets Plate, Steaks & Ribs, Includes Fixed Sides",,,,190,0,48,,3,40,820,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943895,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Boneless Wings, Initial Order, Limited Time Offers, Double Crunch Bone-In Wings",,,,190,0,48,,3,40,820,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951558,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available In: Boneless Wings, Refill Order, Limited Time Offers, Classic Combo",,,,100,0,24,0,1,20,410,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951561,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available in: Riblets, Initial Order, Limited Time Offers",,,,260,0,63,1,4,53,1090,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951563,Applebee's,Honey BBQ,Toppings & Ingredients,"Honey BBQ, Available in: Riblets, Refill Order, Limited Time Offers",,,,130,0,32,,2,26,550,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
120276,Applebee's,Honey French,Toppings & Ingredients,"Honey French, Available In: House Salad, Side Salads",,,,210,17,15,0,0,14,330,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
943896,Applebee's,Honey Pepper,Toppings & Ingredients,"Honey Pepper, Available In: Boneless Wings, Initial Order, Limited Time Offers, Double Crunch Bone-In Wings",,,,230,0,59,,0,51,190,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951559,Applebee's,Honey Pepper,Toppings & Ingredients,"Honey Pepper, Available In: Boneless Wings, Refill Order, Limited Time Offers, Classic Combo",,,,120,0,29,0,0,26,95,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
10020,Applebee's,House Salad,Salads,"House Salad, Side Salads",,,,130,7,14,6,2,4,230,10,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
951567,Applebee's,Impossible Burger Patty,Toppings & Ingredients,"Impossible Burger Patty, Burger Substitutions, Bourbon St. Burger",,,,240,14,9,19,4,,490,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951569,Applebee's,Impossible Burger Patty,Toppings & Ingredients,"Impossible Burger Patty, Burger Substitutions, Quesadilla Burger",,,,240,14,10,19,4,,850,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951571,Applebee's,Impossible Burger Patty,Toppings & Ingredients,"Impossible Burger Patty, Burger Substitutions",,,,230,13,9,19,4,,570,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
951540,Applebee's,Impossible Cheeseburger,Burgers,"Impossible Cheeseburger, Classic Fries, Burgers",,,,1050,56,100,37,12,9,2600,25,,annual_dataset,2022,Annual chain menu dataset; matched_2021=0; new_item_2022=1,,US,0
179854,Applebee's,Kids Cheeseburger,Burgers,"Kids Cheeseburger, Kids Main Meal",,,,560,36,37,24,2,7,1050,55,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179857,Applebee's,Kids Cheesy Pizza,Pizza,"Kids Cheesy Pizza, Kids Main Meal",,,,700,29,86,25,4,12,1160,40,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179858,Applebee's,Kids Chicken Quesadilla,Entrees,"Kids Chicken Quesadilla, Kids Main Meal",,,,350,17,34,15,2,2,700,40,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
179855,Applebee's,Kids Chicken Taco,Sandwiches,"Kids Chicken Taco, Kids Main Meal",,,,220,6,19,20,1,2,570,60,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10117,Applebee's,Kids Chicken Tenders,Entrees,"Kids Chicken Tenders, Kids Main Meal",,,,290,15,19,18,1,0,650,50,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
10094,Applebee's,Kids Corn Dog,Sandwiches,"Kids Corn Dog, Kids Main Meal",,,,180,9,19,7,1,5,400,20,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
60003,Applebee's,Kids Garlic Mashed Potatoes,Appetizers & Sides,"Kids Garlic Mashed Potatoes, Kids Sides",,,,130,5,19,2,2,2,360,0,,annual_dataset,2022,Annual chain menu dataset; matched_2021=1; new_item_2022=0,,US,0
